"","Category","ProductName","Reviewer","Review","TypeOfReviewer","ReviewDate","Rating"
"1087","Mens Shorts","Ergodyne Chill-Its Evaporative Cooling Vest","Kelly Porter","







  
  
    Yes, there are probably better options out on the market but, for the price, this vest works as described. I think they are a little larger than posted…l see where folks get them wet and put them in the fridge, before using them. We don’t have that luxury when your riding 450 miles in 100 degree dry heat for 7-8 hours a day. In this type of weather, l was stopping every 3 hours and refuel the bike and rewatering the vest… The lime yellow is very bright and noticeable, good for visibility by others. The vest keeps me alert and comfortable too… well made and affordable..
  
","Verified Purchase","Reviewed in the United States on 4 July 2023","5.0 out of 5 stars"
"1088","Mens Shorts","Ergodyne Chill-Its Evaporative Cooling Vest","Andrew Stone","







  
  
    High quality materials.  Absorbs a lot of water without being heavy or awkward.  Holds onto moisture but dries completely. Instantly cools the body like jumping into water... So I would day it will buy an hour in the Okanagan Sun where it is dry but very very hot.
  
","Verified Purchase","Reviewed in Canada on 3 May 2022","5.0 out of 5 stars"
"1089","Mens Shorts","Ergodyne Chill-Its Evaporative Cooling Vest","Kindle Customer","







  
  
    I use this for woodworking in my garage during the summer in Tucson. This plus a bucket of ice water to recharge and a fan works pretty good to stay cool. Three stars because it seems to leak some of the gel every time I soak it.
  
","Verified Purchase","Reviewed in the United States on 5 November 2019","3.0 out of 5 stars"
"1090","Mens Shorts","Ergodyne Chill-Its Evaporative Cooling Vest","William Thomas Carroll","







  
  
    I was not impressed. Wetting the vest down with cold water didn't keep me any cooler. I even went to the extreme and placed it in my freezer. Once it was frozen, the coolnest only lasted for about 20 minutes. The vest also adds a few pounds to your burden of having to wear extra weight in the heat. I will be returning it.
  
","Verified Purchase","Reviewed in the United States on 5 July 2023","1.0 out of 5 stars"
"1091","Mens Shorts","Ergodyne Chill-Its Evaporative Cooling Vest","HeyLadyTX","







  
  
    I bought this for my husband who works outside in the Texas heat. He tried it a couple of times and doesn't like it. If it's excessively hot, 100+, this really won't help. It might be effective in less hot and humid climates. Not a bad product just didn't work for him.
  
","Verified Purchase","Reviewed in the United States on 24 September 2023","3.0 out of 5 stars"
"1092","Mens Shorts","Ergodyne Chill-Its Evaporative Cooling Vest","A. B.","







  
    Utilisé pour rouler en moto à des températures >40°C.Double avantage, ça la peau humidifié dans des zones ultra sec. Et ça rafraîchit vraiment l'air porté sous ma veste de moto d'été.Attention, comme marqué dans d'autres avis, aux premières utilisation ça peut tâcher (attention au blanc).Et ça taille vraiment très grand. Ce Large équivaut un XXL en Europe.
  
  
","Verified Purchase","Reviewed in Canada on 6 August 2022","5.0 out of 5 stars"
"1093","Mens Shorts","Ergodyne Chill-Its Evaporative Cooling Vest","Marlene Chiree","







  
  
    I thought the vest may have a special absorbent liner between the outer and inner shell, but appears to be only 2 layers of fabric. Hence it does weep considerably after being soaked and wrung and the water travels to the lower parts. In retrospect any soaked fabric vest would have the same effect. It does fit well and comfortable and does cool by keeping your T-shirt soaked - which isn't a bad thing when you're sweating anyways.
  
","Verified Purchase","Reviewed in Canada on 28 October 2017","3.0 out of 5 stars"
"1094","Mens Shorts","Ergodyne Chill-Its Evaporative Cooling Vest","Oliver Hansen","







  
    Nach dem eintauchen in Wasser wirkt die Weste deutlich nass und gibt die Feuchtigkeit nach innen und aussen ab. Wechselklamotten mitnehmen..
  
  
","Verified Purchase","Reviewed in Germany on 19 May 2022","3.0 out of 5 stars"
"1095","Mens Shorts","Ergodyne Chill-Its Evaporative Cooling Vest","FERNANDO CISNEROS","







  
    Te deja todo mojado y terminas resfriado
  
  
","Verified Purchase","Reviewed in the United States on 7 June 2019","3.0 out of 5 stars"
"1096","Mens Shorts","Ergodyne Chill-Its Evaporative Cooling Vest","Mollyanna","







  
  
    Husband says it really helped him on his 95 degree plus summer rides!  It was a little heavier than he thought it would be but very valuable for traveling by motorcycle across country.
  
","Verified Purchase","Reviewed in the United States on 5 September 2022","5.0 out of 5 stars"
"1097","Mens Shorts","Ergodyne Chill-Its Evaporative Cooling Vest","Victoria","







  
  
    doesnt work and utter rubbish might as well wear a green t shirt. dont waste you money
  
","Verified Purchase","Reviewed in the United States on 20 March 2022","1.0 out of 5 stars"
"1098","Mens Shorts","Ergodyne Chill-Its Evaporative Cooling Vest","Terry Richard","







  
  
    Stayed damp for a few hours. Works well.
  
","Verified Purchase","Reviewed in Canada on 16 July 2020","4.0 out of 5 stars"
"1099","Mens Shorts","Ergodyne Chill-Its Evaporative Cooling Vest","jolanda","







  
    Kein gutes Model entsprach nicht meinen Erwartungen als Kühlweste, kann ich empfehlen , kommt vielleicht auch darauf an wofür es verwendet wird
  
  
","Verified Purchase","Reviewed in Germany on 15 March 2018","1.0 out of 5 stars"
"1100","Mens Shorts","Ergodyne Chill-Its Evaporative Cooling Vest","Diego Laconich","







  
    Funciona
  
  
","Verified Purchase","Reviewed in the United States on 9 December 2022","5.0 out of 5 stars"
"1101","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big","SBM","







  
  
    The ""Breaking Bad"" Jacket style worn by Walter White. Very comfy jacket. Great for Asia Tropical sunny weather. Repell water but not waterproof. Lots of pockets. Great for travel, everyday use. Highly Recommended. Thank You.
  
","Verified Purchase","Reviewed in Singapore on 20 August 2022","5.0 out of 5 stars"
"1102","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big","FCBetomar","







  
    Compre la talla G para regalar y quedo muy bien, en talla no hay problema, el color es muy bonito, es un caqui con una tela tipo durazno, cierres y costuras de excelente calidad... Buena compra.
  
  
","Verified Purchase","Reviewed in Mexico on 23 October 2022","5.0 out of 5 stars"
"1103","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big","Prof. P K Mishra","







  
  
    Product description is incorrect,
  
","Verified Purchase","Reviewed in India on 29 August 2018","5.0 out of 5 stars"
"1104","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big","diane lowder","







  
  
    I bought this jacket for my dad as a gift and he loves it. It is super versatile and repels water, so he can wear it in any weather. It fits great and has a classic style that suits him well. He is able to work in it or even go out to town in it. It is a high-quality jacket that is worth every penny. I would highly recommend it to anyone looking for a durable and stylish jacket.
  
","Verified Purchase","Reviewed in the United States on 15 January 2024","2.0 out of 5 stars"
"1105","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big","Raúl Lomelí Gómez","







  
    Cumple con lo ancho, pero para una persona de 1.90 queda algo corta.
  
  
","Verified Purchase","Reviewed in Mexico on 28 February 2022","5.0 out of 5 stars"
"1106","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big","MW","







  
  
    Large fits petfect.  I'm 6ft 1in  about 170.  An XL would be way to big.  Lots of pockets and looks good
  
","Verified Purchase","Reviewed in Canada on 17 September 2017","5.0 out of 5 stars"
"1107","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big","Joanne Hosker","







  
  
    Product was as described, could have been a little longer in the body or sleeve as it is a size tall. Otherwise satisfactory.
  
","Verified Purchase","Reviewed in Canada on 28 May 2019","5.0 out of 5 stars"
"1108","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big","jgdomin","







  
    La calidad de la chamarra es buena , pero mido 1.93 y siento que me ha quedo un poco corta , por lo demás ok
  
  
","Verified Purchase","Reviewed in Mexico on 29 October 2018","5.0 out of 5 stars"
"1109","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big","Reno B.","







  
  
    This is just the jacket my husband was wishing for!  Thanks from me and HIM!
  
","Verified Purchase","Reviewed in Canada on 28 April 2019","3.0 out of 5 stars"
"1110","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big","John & Arlene de Bruin","







  
  
    Good buy
  
","Verified Purchase","Reviewed in Canada on 13 October 2019","5.0 out of 5 stars"
"1111","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big","Moe","







  
  
    Arrived on time. Packaging was sufficient. Sizing chart is accurate. Quality is good. Plenty of pockets. A tad pricey. Takes a Clothes steamer to get the wrinkles out but that’s expected with any clothing you order online these days. We’ll see how it holds up over time.
  
","Verified Purchase","Reviewed in the United States on 14 February 2024","4.0 out of 5 stars"
"1112","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big","Havey Wieseltier","







  
  
    This is true to fit from chart. The jacket is lightweight and feel comfortable. I really like the freedom of movement the jacket offers.The only issue, when delivered it was very wrinkled. I had to put it in the dryer help remove some of the wrinkles, then had to iron it to remove the final deep wrinkles.Have worn multiple times and it has done very well not holding any excessive wrinkles.
  
","Verified Purchase","Reviewed in the United States on 21 January 2024","5.0 out of 5 stars"
"1113","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big","Azalea Soph","







  
  
    Many pockets for storage. Dressy and casual
  
","Verified Purchase","Reviewed in the United States on 10 February 2024","5.0 out of 5 stars"
"1114","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big","Carol Kern","







  
  
    I've been using this as my main jacket for a few months now, i love it!
  
","Verified Purchase","Reviewed in the United States on 1 February 2024","5.0 out of 5 stars"
"1115","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big","Charles Andrus","







  
  
    Very wrinkled when it arrived.  What is best way to remove wrinkles.  Otherwise, satisfied with jacket.
  
","Verified Purchase","Reviewed in the United States on 18 January 2024","4.0 out of 5 stars"
"1116","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big","Kindle Customer","







  
  
    Fabric is great !
  
","Verified Purchase","Reviewed in the United States on 8 February 2024","5.0 out of 5 stars"
"1117","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big","Olivia D Robert","







  
  
    I like the choice of colors and sizes.  A quality jacket, lightweight and handy.  I've looked for quite a while for one for my husband's size, 2XLT.  So far I've bought 2 and will get another soon.
  
","Verified Purchase","Reviewed in the United States on 12 January 2024","5.0 out of 5 stars"
"1118","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big","Jim Townsend ","







  
  
    very pleased with the fit and quality of the jacket
  
","Verified Purchase","Reviewed in the United States on 14 January 2024","5.0 out of 5 stars"
"1119","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big","Robert Fensler","







  
  
    I purchased the XLT, great fit and good looking. 6'6"" and 220 lbs..
  
","Verified Purchase","Reviewed in the United States on 15 January 2024","5.0 out of 5 stars"
"1120","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big",NA,"







  
  
    Is great price first of excellent color perfect Fit you just can't beat london fog.
  
","Verified Purchase","Reviewed in the United States on 5 January 2024","5.0 out of 5 stars"
"1121","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big","Karen D","







  
  
    The jacket looks great and fits perfectly.
  
","Verified Purchase","Reviewed in the United States on 13 January 2024","5.0 out of 5 stars"
"1122","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big","Sharon Montgomery","







  
  
    Other reviewers indicated the jacket came very wrinkled and the wrinkles were very hard to remove. That was my experience as well. Oter than that, it is a great fit and comfortable
  
","Verified Purchase","Reviewed in the United States on 15 November 2023","4.0 out of 5 stars"
"1123","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big","Jean traum","







  
  
    Nice quality fabric.  Bought 3X and it fit well--roomy and stylish with ample pockets.
  
","Verified Purchase","Reviewed in the United States on 28 December 2023","5.0 out of 5 stars"
"1124","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big","john carr","







  
  
    I ordered this item for my husband for Christmas and was impressed with the quality of the jacket and swiftness of the delivery.
  
","Verified Purchase","Reviewed in the United States on 18 December 2023","5.0 out of 5 stars"
"1125","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big","Philip Maxfield","







  
  
    Very satisfied, only complaint is there should be another snap on sleeves at the wrist. Very loose.
  
","Verified Purchase","Reviewed in the United States on 1 November 2023","4.0 out of 5 stars"
"1126","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big","B. Jasper","







  
  
    Very good fit. Love the pockets.
  
","Verified Purchase","Reviewed in the United States on 18 December 2023","5.0 out of 5 stars"
"1127","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big","Fargo Shopper","







  
  
    If you need tall sizes, this bomber-style light jacket is great. Nice fit and quality. I wear large-tall size, and there are few choices for this style of jacket.
  
","Verified Purchase","Reviewed in the United States on 19 November 2023","5.0 out of 5 stars"
"1128","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big","mary","







  
  
    Hubby needed a new jacket.  He didn't have a decent spring/fall option in the closet.I ordered this London Fog jacket because I'm a huge fan of the brand.  I wasn't disappointed.  I ordered a large tall because he's 6'4"", with a 36 in sleeve.  Finding clothes that fit him can be difficult, so I crossed my fingers and hoped for the best.It was a hit!  The jacket, and sleeves, fit beautifully.  It has enough room to wear a sweater under it, without feeling tight, but doesn't look baggy over a lightweight shirt.  The price was excellent, so that was a bonus.London Fog has always had a reputation for quality, and its never disappointed me.  I expect him to get several years of use out of this particular purchase.
  
","Verified Purchase","Reviewed in the United States on 10 August 2023","5.0 out of 5 stars"
"1129","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big","Lisa Ray","







  
  
    It's ok
  
","Verified Purchase","Reviewed in the United States on 28 October 2023","4.0 out of 5 stars"
"1130","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big",NA,"







  
  
    Exactly as described
  
","Verified Purchase","Reviewed in the United States on 16 December 2023","5.0 out of 5 stars"
"1131","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big","Alberto C Nevares","







  
  
    London Fog is a great brand. This jacket is great good material lightweight and durable true to size . Get a few colors.
  
","Verified Purchase","Reviewed in the United States on 29 November 2023","5.0 out of 5 stars"
"1132","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big","Alan S. Rosenberg","







  
  
    I am familiar with the brand and their products.
  
","Verified Purchase","Reviewed in the United States on 7 December 2023","5.0 out of 5 stars"
"1133","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big","SQUAREMAN ","







  
  
    It got real cold in November and I realized my big size parka jacket was falling apart and my windbreaker was too small, especially when I’m carrying my licensed CCW.Ordered this in 4XL and a big, fluffy parka in 5XL ( a hunch and I was right, it was junk and didn’t fit at 5xl and back to China it goes )Showed up in 2 or 3 days and is nice quality, very roomy, even carrying my Glock,,, the parka finally showed up, 8 weeks later— and winter is almost over! Damn Amazon need to tell the truth about when a product is being mailed from China  and will take months to arrive THAT IS NOT FOR THIS ITEM- it showed up in 2 or 3 days!It is a bit weird in that the lining is loosely attached,, almost like it’s removable. I need to look into it a bit.
  
","Verified Purchase","Reviewed in the United States on 16 February 2023","4.0 out of 5 stars"
"1134","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big","Tom G.","







  
  
    LOVE THIS PRODUCT
  
","Verified Purchase","Reviewed in the United States on 5 December 2023","5.0 out of 5 stars"
"1135","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big","Karen B","







  
  
    It’s not quite as nice as my polo jacket but since it cost $100 less, I can easily live with that! It looks great, fits very well, and is true to size in my 2XLT. Excellent purchase very happy with the color, which is“concrete“
  
","Verified Purchase","Reviewed in the United States on 6 November 2023","5.0 out of 5 stars"
"1136","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big","hibankerjack","







  
  
    This jacket is true to size and lightweight. It’s very comfortable and looks good on.
  
","Verified Purchase","Reviewed in the United States on 8 November 2023","5.0 out of 5 stars"
"1137","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big","Donna Christol","







  
  
    Needed something other than a hoodie.  It doesn't often get cold enough that a hoodie doesn't do it, but my weather resistant nylon shell jacket that I'd had for 20+ years finally needed to go.This is a good one.  Sheds rain well enough that I don't get soaked between the truck and wherever I'm going into, it fits right, and it has a ton of pockets.Not crazy that it has 2 side pockets on each side, one with a zipper and one without but I just zipped up the zipper pockets and now I don't have to check both pockets when I stick my phone or keys in a side pocket.I'd buy it again and I'm pretty picky.  I have huge shoulders and the sleeves on this one are actually long enough without being stupid long.I'm a little over 6 ft tall, about 270 and most of my height is in my torso.
  
","Verified Purchase","Reviewed in the United States on 25 January 2023","5.0 out of 5 stars"
"1138","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big","Cecilia ","







  
  
    Thejacket has a good look, but it arrived a wrinkled mess. After washing and hanging up it still needed ironing. The material does  not have the feel of the London Fog of the past.  It feels like it has plastic in it.  Time will tell.
  
","Verified Purchase","Reviewed in the United States on 25 November 2023","3.0 out of 5 stars"
"1139","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big","Guilford Lake","







  
  
    Had the exact same jacket 20 years old.still wearable. The new one I ordered was xl. They sent me xlt. Liked the length but the sleeves a little long. I'm gonna keep it!
  
","Verified Purchase","Reviewed in the United States on 4 October 2023","5.0 out of 5 stars"
"1140","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big",NA,"







  
  
    I needed a light weight jacket for Fall.  I have always liked the London Fog quality.  The jacket would have been perfect if it would have had a flannel type lining inside.  However, I will still keep it.  Probably will keep looking around
  
","Verified Purchase","Reviewed in the United States on 24 October 2023","3.0 out of 5 stars"
"1141","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big","Dennis Ray Bledsoe","







  
  
    Nice
  
","Verified Purchase","Reviewed in the United States on 15 November 2023","5.0 out of 5 stars"
"1142","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big","Carole","







  
  
    the quality, the fit and the price
  
","Verified Purchase","Reviewed in the United States on 20 October 2023","5.0 out of 5 stars"
"1143","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big","Marcel Laroche","







  
  
    Great product & quality.
  
","Verified Purchase","Reviewed in Canada on 8 December 2023","5.0 out of 5 stars"
"1144","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big","1404111","







  
  
    Absolutely perfect in every way it was just what I was looking for, great fit, light weight and comfortable. 👍👌
  
","Verified Purchase","Reviewed in the United States on 21 September 2023","5.0 out of 5 stars"
"1145","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big","Victor Alvarez","







  
  
    The jacket is soft and easy to clean.  I love the pockets and the material that it's made from. I feel this jacket is casual and business at the same time. I love the price as well.
  
","Verified Purchase","Reviewed in the United States on 29 June 2023","5.0 out of 5 stars"
"1146","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big","Walker","







  
  
    This is a nice water-resistant windbreaker. Good quality, fits well enough. I just wish it was a little thicker/warmer. But I am happy with it.
  
","Verified Purchase","Reviewed in the United States on 23 March 2023","4.0 out of 5 stars"
"1147","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big","Walker","","Verified Purchase","Reviewed in the United States on 24 September 2023","5.0 out of 5 stars"
"1148","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big","rt1092","







  
  
    I received the jacket today. Seems to be just about what I wanted. Fits fairly loose I'm 6' 4"" and 325 pounds. I ordered a 3X. There's room for a bulky sweater if needed. Could be a little longer  at the waist, but sleeves are fine.Everything else is about perfect. Fairly lightweight
  
","Verified Purchase","Reviewed in the United States on 3 April 2023","5.0 out of 5 stars"
"1149","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big","Amazon Customer","







  
  
    Nice jacket
  
","Verified Purchase","Reviewed in the United States on 7 September 2023","5.0 out of 5 stars"
"1150","Mens Shorts","LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes), Black, 3X-Large Big","Joey Rutherford","







  
  
    Whatever the material the jacket is made of, it doesn't breath. That's fine if its autumn or winter, but is less than ideal for the spring or early summer. Other golf jackets I've had in the past were made of more breathable material. I wear a jacket most of the time, but I also live in an area with warm weather most of the year, so I need a light, breathable jacket. This is one purchase I sincerely regret.
  
","Verified Purchase","Reviewed in the United States on 21 April 2023","5.0 out of 5 stars"
"1151","Mens Shorts","THE NORTH FACE Men's Aconcagua","J. Hamilton","







  
  
    I highly recommend this jacket. It’s warm, fits great looks nice, great brand buy it!
  
","Verified Purchase","Reviewed in the United States on 22 January 2022","5.0 out of 5 stars"
"1152","Mens Shorts","THE NORTH FACE Men's Aconcagua","Nicholas Cimmento","







  
  
    I like how warm it keeps me. I use it when it gets ready cold out
  
","Verified Purchase","Reviewed in the United States on 6 March 2022","5.0 out of 5 stars"
"1153","Mens Shorts","THE NORTH FACE Men's Aconcagua","Anna Del Grosso","







  
    Il Piumino è quello più leggero. ho preso la taglia S per mio figlio di 14 anni ma è un po’ piccola.
  
  
","Verified Purchase","Reviewed in Italy on 1 February 2023","5.0 out of 5 stars"
"1154","Mens Shorts","THE NORTH FACE Men's Aconcagua","Anna Del Grosso","







  
    Veste parfaite exactement ce que je rechercher: doudoune légère, tiens chaud mais régule la chaleur, poches latérales zippé ainsi qu’une poche poitrine, le prix reste correct.
  
  
","Verified Purchase","Reviewed in France on 18 November 2021","5.0 out of 5 stars"
"1155","Mens Shorts","THE NORTH FACE Men's Aconcagua","Erik","







  
    Me encanto la chamarra a un muy buen precio la recomiendo ampliamente 😃
  
  
","Verified Purchase","Reviewed in the United States on 6 September 2023","5.0 out of 5 stars"
"1156","Mens Shorts","THE NORTH FACE Men's Aconcagua","Fco_ferrari","







  
    A jaqueta é excelente: quente, bonita e agradável de vestir. O único detalhe que me incomodou é que ela poderia ser uma polegada maior e ter fechamento na parte de baixo contra vento.
  
  
","Verified Purchase","Reviewed in Brazil on 13 June 2023","5.0 out of 5 stars"
"1157","Mens Shorts","THE NORTH FACE Men's Aconcagua","Jeffo","







  
  
    The jacket fitted well and was very light.  It kept me warm in some cold weather and has a zipped pocket that is useful for a phone or wallet.
  
","Verified Purchase","Reviewed in the United States on 26 December 2022","5.0 out of 5 stars"
"1158","Mens Shorts","THE NORTH FACE Men's Aconcagua","Steve","







  
    ノースフェイスのジャケット探してました、専門店まで探しても、色サイズ気に入ったのが無く偶然Amazonで探してたらLサイズがタイムセール中色もブラック、安すぎ？ですが、お店のコメント見てたら商品に自信ありそうな感じだったので、注文させて頂きましたが、昨日の今日で早速到着、包装も丁寧で、思っていた正規品で、大満足です、安く購入させて頂きありがとうございます。この商品は欲しい方まだまだ居ると思います。
  
  
","Verified Purchase","Reviewed in Japan on 5 January 2024","5.0 out of 5 stars"
"1159","Mens Shorts","THE NORTH FACE Men's Aconcagua","銀次郎","







  
    Größe passend
  
  
","Verified Purchase","Reviewed in Germany on 21 March 2021","5.0 out of 5 stars"
"1160","Mens Shorts","THE NORTH FACE Men's Aconcagua","Koalick","







  
  
    Good quality and it keeps you warm
  
","Verified Purchase","Reviewed in the United States on 27 February 2023","5.0 out of 5 stars"
"1161","Mens Shorts","THE NORTH FACE Men's Aconcagua","ネット通販は試行錯誤！アマゾンさんが一番です‼️","







  
    まず、安価です。現在は真冬ではありませんが恐らくハイシ-ズンになりますと活躍すること間違いありません。ダウンジャケットほ雨天時は着用しないものです。確かに、雨天対応ですが商品がます。ダウンジャケットは生き物です‼️丁寧に扱いましょう‼️家庭での洗濯はやめましょう⁉️プロに任せることです‼️エアコンと同じです。いかがでしょうか？
  
  
","Verified Purchase","Reviewed in Japan on 7 October 2021","5.0 out of 5 stars"
"1162","Mens Shorts","THE NORTH FACE Men's Aconcagua","Wintergreen","







  
  
    North Face jacket fits well, great color, nice weight for Minnesota winters, pricey.
  
","Verified Purchase","Reviewed in the United States on 10 April 2023","5.0 out of 5 stars"
"1163","Mens Shorts","THE NORTH FACE Men's Aconcagua","lena","







  
  
    Happy with quality product and delivery service!
  
","Verified Purchase","Reviewed in the United States on 5 January 2021","5.0 out of 5 stars"
"1164","Mens Shorts","THE NORTH FACE Men's Aconcagua","Amazon Customer","







  
    El corte divino
  
  
","Verified Purchase","Reviewed in the United States on 1 April 2022","5.0 out of 5 stars"
"1165","Mens Shorts","THE NORTH FACE Men's Aconcagua","LeeDC02","







  
  
    Purchased this North Face jacket for my 14y/o son who’s a giant! It fits well! XL had long enough arms and a nice shape, not just a flat looking jacket. No cons just really a great purchase & shipping was was fast, I’d refer my friend who son doesn’t like wearing a “coat” but needs to keep warm
  
","Verified Purchase","Reviewed in the United States on 21 December 2021","5.0 out of 5 stars"
"1166","Mens Shorts","THE NORTH FACE Men's Aconcagua","Scott Lane","







  
  
    The inner stuffing starting coming out day 1. Cheaply made jacket no where worth the price.
  
","Verified Purchase","Reviewed in the United States on 5 March 2023","2.0 out of 5 stars"
"1167","Mens Shorts","THE NORTH FACE Men's Aconcagua","Tommy Tong","







  
  
    Good looking
  
","Verified Purchase","Reviewed in Canada on 19 November 2023","5.0 out of 5 stars"
"1168","Mens Shorts","THE NORTH FACE Men's Aconcagua","Ferrie Mireille","







  
    pas le bon
  
  
","Verified Purchase","Reviewed in France on 13 December 2021","1.0 out of 5 stars"
