"","...1","title","author","subject","abstract","meta"
"11",11,"quantifying and mitigating privacy risks for tabular generative models","chaoyi zhu, jiayi tang, hans brouwer, juan f. pérez, marten van dijk, lydia y. chen","machine learning","synthetic data from generative models emerges as the privacy-preserving data-sharing solution. such a synthetic data set shall resemble the original data without revealing identifiable private information. the backbone technology of tabular synthesizers is rooted in image generative models, ranging from generative adversarial networks (gans) to recent diffusion models. recent prior work sheds light on the utility-privacy tradeoff on tabular data, revealing and quantifying privacy risks on synthetic data. we first conduct an exhaustive empirical analysis, highlighting the utility-privacy tradeoff of five state-of-the-art tabular synthesizers, against eight privacy attacks, with a special focus on membership inference attacks. motivated by the observation of high data quality but also high privacy risk in tabular diffusion, we propose dp-tldm, differentially private tabular latent diffusion model, which is composed of an autoencoder network to encode the tabular data and a latent diffusion model to synthesize the latent tables. following the emerging f-dp framework, we apply dp-sgd to train the auto-encoder in combination with batch clipping and use the separation value as the privacy metric to better capture the privacy gain from dp algorithms. our empirical evaluation demonstrates that dp-tldm is capable of achieving a meaningful theoretical privacy guarantee while also significantly enhancing the utility of synthetic data. specifically, compared to other dp-protected tabular generative models, dp-tldm improves the synthetic quality by an average of 35% in data resemblance, 15% in the utility for downstream tasks, and 50% in data discriminability, all while preserving a comparable level of privacy risk.",2024-03-12
"12",12,"mpcpa: multi-center privacy computing with predictions aggregation based on denoising diffusion probabilistic model","guibo luo, hanwen zhang, xiuling wang, mingzhi chen, yuesheng zhu","distributed, parallel, and cluster computing","privacy-preserving computing is crucial for multi-center machine learning in many applications such as healthcare and finance. in this paper a multi-center privacy computing framework with predictions aggregation (mpcpa) based on denoising diffusion probabilistic model (ddpm) is proposed, in which conditional diffusion model training, ddpm data generation, a classifier, and strategy of prediction aggregation are included. compared to federated learning, this framework necessitates fewer communications and leverages high-quality generated data to support robust privacy computing. experimental validation across multiple datasets demonstrates that the proposed framework outperforms classic federated learning and approaches the performance of centralized learning with original data. moreover, our approach demonstrates robust security, effectively addressing challenges such as image memorization and membership inference attacks. our experiments underscore the efficacy of the proposed framework in the realm of privacy computing, with the code set to be released soon.",2024-03-12
"13",13,"when eye-tracking meets machine learning: a systematic review on applications in medical image analysis","sahar moradizeyveh, mehnaz tabassum, sidong liu, robert ahadizad newport, amin beheshti, antonio di ieva","image and video processing","eye-gaze tracking research offers significant promise in enhancing various healthcare-related tasks, above all in medical image analysis and interpretation. eye tracking, a technology that monitors and records the movement of the eyes, provides valuable insights into human visual attention patterns. this technology can transform how healthcare professionals and medical specialists engage with and analyze diagnostic images, offering a more insightful and efficient approach to medical diagnostics. hence, extracting meaningful features and insights from medical images by leveraging eye-gaze data improves our understanding of how radiologists and other medical experts monitor, interpret, and understand images for diagnostic purposes. eye-tracking data, with intricate human visual attention patterns embedded, provides a bridge to integrating artificial intelligence (ai) development and human cognition. this integration allows novel methods to incorporate domain knowledge into machine learning (ml) and deep learning (dl) approaches to enhance their alignment with human-like perception and decision-making. moreover, extensive collections of eye-tracking data have also enabled novel ml/dl methods to analyze human visual patterns, paving the way to a better understanding of human vision, attention, and cognition. this systematic review investigates eye-gaze tracking applications and methodologies for enhancing ml/dl algorithms for medical image analysis in depth.",2024-03-12
"14",14,"fusing climate data products using a spatially varying autoencoder","jacob a. johnson, matthew j. heaton, william f. christensen, lynsie r. warr, summer b. rupper","applications","autoencoders are powerful machine learning models used to compress information from multiple data sources. however, autoencoders, like all artificial neural networks, are often unidentifiable and uninterpretable. this research focuses on creating an identifiable and interpretable autoencoder that can be used to meld and combine climate data products. the proposed autoencoder utilizes a bayesian statistical framework, allowing for probabilistic interpretations while also varying spatially to capture useful spatial patterns across the various data products. constraints are placed on the autoencoder as it learns patterns in the data, creating an interpretable consensus that includes the important features from each input. we demonstrate the utility of the autoencoder by combining information from multiple precipitation products in high mountain asia.",2024-03-12
"15",15,"label dropout: improved deep learning echocardiography segmentation using multiple datasets with domain shift and partial labelling","iman islam (1), esther puyol-antón (1), bram ruijsink (1), andrew j. reader (1), andrew p. king (1) ((1) king's college london)","computer vision and pattern recognition","echocardiography (echo) is the first imaging modality used when assessing cardiac function. the measurement of functional biomarkers from echo relies upon the segmentation of cardiac structures and deep learning models have been proposed to automate the segmentation process. however, in order to translate these tools to widespread clinical use it is important that the segmentation models are robust to a wide variety of images (e.g. acquired from different scanners, by operators with different levels of expertise etc.). to achieve this level of robustness it is necessary that the models are trained with multiple diverse datasets. a significant challenge faced when training with multiple diverse datasets is the variation in label presence, i.e. the combined data are often partially-labelled. adaptations of the cross entropy loss function have been proposed to deal with partially labelled data. in this paper we show that training naively with such a loss function and multiple diverse datasets can lead to a form of shortcut learning, where the model associates label presence with domain characteristics, leading to a drop in performance. to address this problem, we propose a novel label dropout scheme to break the link between domain characteristics and the presence or absence of labels. we demonstrate that label dropout improves echo segmentation dice score by 62% and 25% on two cardiac structures when training using multiple diverse partially labelled datasets.",2024-03-12
"16",16,"chronos: learning the language of time series","abdul fatir ansari, lorenzo stella, caner turkmen, xiyuan zhang, pedro mercado, huibin shen, oleksandr shchur, syama sundar rangapuram, sebastian pineda arango, shubham kapoor, jasper zschiegner, danielle c. maddix, michael w. mahoney, kari torkkola, andrew gordon wilson, michael bohlke-schneider, yuyang wang","machine learning","we introduce chronos, a simple yet effective framework for pretrained probabilistic time series models. chronos tokenizes time series values using scaling and quantization into a fixed vocabulary and trains existing transformer-based language model architectures on these tokenized time series via the cross-entropy loss. we pretrained chronos models based on the t5 family (ranging from 20m to 710m parameters) on a large collection of publicly available datasets, complemented by a synthetic dataset that we generated via gaussian processes to improve generalization. in a comprehensive benchmark consisting of 42 datasets, and comprising both classical local models and deep learning methods, we show that chronos models: (a) significantly outperform other methods on datasets that were part of the training corpus; and (b) have comparable and occasionally superior zero-shot performance on new datasets, relative to methods that were trained specifically on them. our results demonstrate that chronos models can leverage time series data from diverse domains to improve zero-shot accuracy on unseen forecasting tasks, positioning pretrained models as a viable tool to greatly simplify forecasting pipelines.",2024-03-12
"17",17,"pyvene: a library for understanding and improving pytorch models via interventions","zhengxuan wu, atticus geiger, aryaman arora, jing huang, zheng wang, noah d. goodman, christopher d. manning, christopher potts","machine learning","interventions on model-internal states are fundamental operations in many areas of ai, including model editing, steering, robustness, and interpretability. to facilitate such research, we introduce $\textbf{pyvene}$, an open-source python library that supports customizable interventions on a range of different pytorch modules. $\textbf{pyvene}$ supports complex intervention schemes with an intuitive configuration format, and its interventions can be static or include trainable parameters. we show how $\textbf{pyvene}$ provides a unified and extensible framework for performing interventions on neural models and sharing the intervened upon models with others. we illustrate the power of the library via interpretability analyses using causal abstraction and knowledge localization. we publish our library through python package index (pypi) and provide code, documentation, and tutorials at this https url.",2024-03-12
"18",18,"boosting keyword spotting through on-device learnable user speech characteristics","cristian cioflan, lukas cavigelli, luca benini","sound","keyword spotting systems for always-on tinyml-constrained applications require on-site tuning to boost the accuracy of offline trained classifiers when deployed in unseen inference conditions. adapting to the speech peculiarities of target users requires many in-domain samples, often unavailable in real-world scenarios. furthermore, current on-device learning techniques rely on computationally intensive and memory-hungry backbone update schemes, unfit for always-on, battery-powered devices. in this work, we propose a novel on-device learning architecture, composed of a pretrained backbone and a user-aware embedding learning the user's speech characteristics. the so-generated features are fused and used to classify the input utterance. for domain shifts generated by unseen speakers, we measure error rate reductions of up to 19% from 30.1% to 24.3% based on the 35-class problem of the google speech commands dataset, through the inexpensive update of the user projections. we moreover demonstrate the few-shot learning capabilities of our proposed architecture in sample- and class-scarce learning conditions. with 23.7 kparameters and 1 mflop per epoch required for on-device training, our system is feasible for tinyml applications aimed at battery-powered microcontrollers.",2024-03-12
"19",19,"joint selection: adaptively incorporating public information for private synthetic data","miguel fuentes, brett mullins, ryan mckenna, gerome miklau, daniel sheldon","machine learning","mechanisms for generating differentially private synthetic data based on marginals and graphical models have been successful in a wide range of settings. however, one limitation of these methods is their inability to incorporate public data. initializing a data generating model by pre-training on public data has shown to improve the quality of synthetic data, but this technique is not applicable when model structure is not determined a priori. we develop the mechanism jam-pgm, which expands the adaptive measurements framework to jointly select between measuring public data and private data. this technique allows for public data to be included in a graphical-model-based mechanism. we show that jam-pgm is able to outperform both publicly assisted and non publicly assisted synthetic data generation mechanisms even when the public data distribution is biased.",2024-03-12
"20",20,"fine-tuning neural network quantum states","riccardo rende, sebastian goldt, federico becca, luciano loris viteritti","disordered systems and neural networks","recent progress in the design and optimization of neural network quantum states (nnqs) have made them an effective method to investigate ground-state properties of quantum many-body systems. in contrast to the standard approach of training a separate nnqs from scratch at every point of the phase diagram, we demonstrate that the optimization at a highly expressive point of the phase diagram (i.e., close to a phase transition) yields interpretable features that can be reused to accurately describe a wide region across the transition. we demonstrate the feasibility of our approach on different systems in one and two dimensions by initially pretraining a nnqs at a given point of the phase diagram, followed by fine-tuning only the output layer for all other points. notably, the computational cost of the fine-tuning step is very low compared to the pretraining stage. we argue that the reduced cost of this paradigm has significant potential to advance the exploration of condensed matter systems using nnqs, mirroring the success of fine-tuning in machine learning and natural language processing.",2024-03-12
"21",21,"dexcap: scalable and portable mocap data collection system for dexterous manipulation","chen wang, haochen shi, weizhuo wang, ruohan zhang, li fei-fei, c. karen liu","robotics","imitation learning from human hand motion data presents a promising avenue for imbuing robots with human-like dexterity in real-world manipulation tasks. despite this potential, substantial challenges persist, particularly with the portability of existing hand motion capture (mocap) systems and the difficulty of translating mocap data into effective control policies. to tackle these issues, we introduce dexcap, a portable hand motion capture system, alongside dexil, a novel imitation algorithm for training dexterous robot skills directly from human hand mocap data. dexcap offers precise, occlusion-resistant tracking of wrist and finger motions based on slam and electromagnetic field together with 3d observations of the environment. utilizing this rich dataset, dexil employs inverse kinematics and point cloud-based imitation learning to replicate human actions with robot hands. beyond learning from human motion, dexcap also offers an optional human-in-the-loop correction mechanism to refine and further improve robot performance. through extensive evaluation across six dexterous manipulation tasks, our approach not only demonstrates superior performance but also showcases the system's capability to effectively learn from in-the-wild mocap data, paving the way for future data collection methods for dexterous manipulation. more details can be found at this https url",2024-03-12
"22",22,"fairrr: pre-processing for group fairness through randomized response","xianli zeng, joshua ward, guang cheng","machine learning","the increasing usage of machine learning models in consequential decision-making processes has spurred research into the fairness of these systems. while significant work has been done to study group fairness in the in-processing and post-processing setting, there has been little that theoretically connects these results to the pre-processing domain. this paper proposes that achieving group fairness in downstream models can be formulated as finding the optimal design matrix in which to modify a response variable in a randomized response framework. we show that measures of group fairness can be directly controlled for with optimal model utility, proposing a pre-processing algorithm called fairrr that yields excellent downstream model utility and fairness.",2024-03-12
"23",23,"beyond the labels: unveiling text-dependency in paralinguistic speech recognition datasets","jan pešán, santosh kesiraju, lukáš burget, jan ''honza'' černocký","audio and speech processing","paralinguistic traits like cognitive load and emotion are increasingly recognized as pivotal areas in speech recognition research, often examined through specialized datasets like clse and iemocap. however, the integrity of these datasets is seldom scrutinized for text-dependency. this paper critically evaluates the prevalent assumption that machine learning models trained on such datasets genuinely learn to identify paralinguistic traits, rather than merely capturing lexical features. by examining the lexical overlap in these datasets and testing the performance of machine learning models, we expose significant text-dependency in trait-labeling. our results suggest that some machine learning models, especially large pre-trained models like hubert, might inadvertently focus on lexical characteristics rather than the intended paralinguistic features. the study serves as a call to action for the research community to reevaluate the reliability of existing datasets and methodologies, ensuring that machine learning models genuinely learn what they are designed to recognize.",2024-03-12
"24",24,"emerging technologies for 6g non-terrestrial-networks: from academia to industrial applications","cong t. nguyen, yuris mulya saputra, nguyen van huynh, tan n. nguyen, dinh thai hoang, diep n nguyen, van-quan pham, miroslav voznak, symeon chatzinotas, dinh-hieu tran","networking and internet architecture","terrestrial networks form the fundamental infrastructure of modern communication systems, serving more than 4 billion users globally. however, terrestrial networks are facing a wide range of challenges, from coverage and reliability to interference and congestion. as the demands of the 6g era are expected to be much higher, it is crucial to address these challenges to ensure a robust and efficient communication infrastructure for the future. to address these problems, non-terrestrial network (ntn) has emerged to be a promising solution. ntns are communication networks that leverage airborne (e.g., unmanned aerial vehicles) and spaceborne vehicles (e.g., satellites) to facilitate ultra-reliable communications and connectivity with high data rates and low latency over expansive regions. this article aims to provide a comprehensive survey on the utilization of network slicing, artificial intelligence/machine learning (ai/ml), and open radio access network (oran) to address diverse challenges of ntns from the perspectives of both academia and industry. particularly, we first provide an in-depth tutorial on ntn and the key enabling technologies including network slicing, ai/ml, and oran. then, we provide a comprehensive survey on how network slicing and ai/ml have been leveraged to overcome the challenges that ntns are facing. moreover, we present how oran can be utilized for ntns. finally, we highlight important challenges, open issues, and future research directions of ntn in the 6g era.",2024-03-12
"25",25,"supporting annotators with affordances for efficiently labeling conversational data","austin z. henley, david piorkowski","human-computer interaction","without well-labeled ground truth data, machine learning-based systems would not be as ubiquitous as they are today, but these systems rely on substantial amounts of correctly labeled data. unfortunately, crowdsourced labeling is time consuming and expensive. to address the concerns of effort and tedium, we designed cal, a novel interface to aid in data labeling. we made several key design decisions for cal, which include preventing inapt labels from being selected, guiding users in selecting an appropriate label when they need assistance, incorporating labeling documentation into the interface, and providing an efficient means to view previous labels. we implemented a production-quality implementation of cal and report a user-study evaluation that compares cal to a standard spreadsheet. key findings of our study include users using cal reported lower cognitive load, did not increase task time, users rated cal to be easier to use, and users preferred cal over the spreadsheet.",2024-03-12
"26",26,"probabilistic easy variational causal effect","usef faghihi, amir saki","machine learning","let $x$ and $z$ be random vectors, and $y=g(x,z)$. in this paper, on the one hand, for the case that $x$ and $z$ are continuous, by using the ideas from the total variation and the flux of $g$, we develop a point of view in causal inference capable of dealing with a broad domain of causal problems. indeed, we focus on a function, called probabilistic easy variational causal effect (peace), which can measure the direct causal effect of $x$ on $y$ with respect to continuously and interventionally changing the values of $x$ while keeping the value of $z$ constant. peace is a function of $d\ge 0$, which is a degree managing the strengths of probability density values $f(x|z)$. on the other hand, we generalize the above idea for the discrete case and show its compatibility with the continuous case. further, we investigate some properties of peace using measure theoretical concepts. furthermore, we provide some identifiability criteria and several examples showing the generic capability of peace. we note that peace can deal with the causal problems for which micro-level or just macro-level changes in the value of the input variables are important. finally, peace is stable under small changes in $\partial g_{in}/\partial x$ and the joint distribution of $x$ and $z$, where $g_{in}$ is obtained from $g$ by removing all functional relationships defining $x$ and $z$.",2024-03-12
"27",27,"equipping computational pathology systems with artifact processing pipelines: a showcase for computation and performance trade-offs","neel kanwal, farbod khoraminia, umay kiraz, andres mosquera-zamudio, carlos monteagudo, emiel a.m. janssen, tahlita c.m. zuiverloon, chunmig rong, kjersti engan","image and video processing","histopathology is a gold standard for cancer diagnosis under a microscopic examination. however, histological tissue processing procedures result in artifacts, which are ultimately transferred to the digitized version of glass slides, known as whole slide images (wsis). artifacts are diagnostically irrelevant areas and may result in wrong deep learning (dl) algorithms predictions. therefore, detecting and excluding artifacts in the computational pathology (cpath) system is essential for reliable automated diagnosis. in this paper, we propose a mixture of experts (moe) scheme for detecting five notable artifacts, including damaged tissue, blur, folded tissue, air bubbles, and histologically irrelevant blood from wsis. first, we train independent binary dl models as experts to capture particular artifact morphology. then, we ensemble their predictions using a fusion mechanism. we apply probabilistic thresholding over the final probability distribution to improve the sensitivity of the moe. we developed dl pipelines using two moes and two multiclass models of state-of-the-art deep convolutional neural networks (dcnns) and vision transformers (vits). dcnns-based moe and vits-based moe schemes outperformed simpler multiclass models and were tested on datasets from different hospitals and cancer types, where moe using dcnns yielded the best results. the proposed moe yields 86.15% f1 and 97.93% sensitivity scores on unseen data, retaining less computational cost for inference than moe using vits. this best performance of moes comes with relatively higher computational trade-offs than multiclass models. the proposed artifact detection pipeline will not only ensure reliable cpath predictions but may also provide quality control.",2024-03-12
"28",28,"the minimax rate of hsic estimation for translation-invariant kernels","florian kalinke, zoltan szabo","statistics theory","kernel techniques are among the most influential approaches in data science and statistics. under mild conditions, the reproducing kernel hilbert space associated to a kernel is capable of encoding the independence of $m\ge 2$ random variables. probably the most widespread independence measure relying on kernels is the so-called hilbert-schmidt independence criterion (hsic; also referred to as distance covariance in the statistics literature). despite various existing hsic estimators designed since its introduction close to two decades ago, the fundamental question of the rate at which hsic can be estimated is still open. in this work, we prove that the minimax optimal rate of hsic estimation on $\mathbb r^d$ for borel measures containing the gaussians with continuous bounded translation-invariant characteristic kernels is $\mathcal o\!\left(n^{-1/2}\right)$. specifically, our result implies the optimality in the minimax sense of many of the most-frequently used estimators (including the u-statistic, the v-statistic, and the nyström-based one) on $\mathbb r^d$.",2024-03-12
"29",29,"dseg-lime - improving image explanation by hierarchical data-driven segmentation","patrick knab, sascha marton, christian bartelt","computer vision and pattern recognition","explainable artificial intelligence is critical in unraveling decision-making processes in complex machine learning models. lime (local interpretable model-agnostic explanations) is a well-known xai framework for image analysis. it utilizes image segmentation to create features to identify relevant areas for classification. consequently, poor segmentation can compromise the consistency of the explanation and undermine the importance of the segments, affecting the overall interpretability. addressing these challenges, we introduce dseg-lime (data-driven segmentation lime), featuring: i) a data-driven segmentation for human-recognized feature generation, and ii) a hierarchical segmentation procedure through composition. we benchmark dseg-lime on pre-trained models with images from the imagenet dataset - scenarios without domain-specific knowledge. the analysis includes a quantitative evaluation using established xai metrics, complemented by a qualitative assessment through a user study. our findings demonstrate that dseg outperforms in most of the xai metrics and enhances the alignment of explanations with human-recognized concepts, significantly improving interpretability. the code is available under: https://github. com/patrick-knab/dseg-lime",2024-03-12
